id,nome,sexo,idade,tipo_conta,funcionario,salario,saldo_conta,credito_imobiliario,emprestimo,cluster
78,Andreia Ferreira,2,26,1,1,28000.0,20000.0,0,0,1
79,Rui Sousa,1,24,2,1,22000.0,10000.0,1,1,2
80,Ana Silva,2,25,2,1,18000.0,8000.0,0,0,2
81,Luís Rodrigues,1,34,1,1,40000.0,25000.0,1,1,1
82,Carla Martins,2,35,1,1,45000.0,40000.0,0,0,1
83,João Costa,1,32,2,1,38000.0,20000.0,1,1,0
84,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
85,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
86,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
87,Luisa Santos,1,24,2,1,22000.0,10000.0,1,1,2
88,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
89,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
90,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
91,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
92,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
93,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
94,Andreia Ferreira,2,26,1,1,28000.0,20000.0,0,0,1
95,Rui Sousa,1,24,2,1,22000.0,10000.0,1,1,2
96,Ana Silva,2,25,2,1,18000.0,8000.0,0,0,2
97,Luís Rodrigues,1,34,1,1,40000.0,25000.0,1,1,1
98,Carla Martins,2,35,1,1,45000.0,40000.0,0,0,1
99,João Costa,1,32,2,1,38000.0,20000.0,1,1,0
100,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
101,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
102,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
103,Luisa Santos,1,24,2,1,22000.0,10000.0,1,1,2
104,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
105,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
106,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
107,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
108,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
109,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
110,Andreia Ferreira,2,26,1,1,28000.0,20000.0,0,0,1
111,Rui Sousa,1,24,2,1,22000.0,10000.0,1,1,2
112,Ana Silva,2,25,2,1,18000.0,8000.0,0,0,2
113,Luís Rodrigues,1,34,1,1,40000.0,25000.0,1,1,1
114,Carla Martins,2,35,1,1,45000.0,40000.0,0,0,1
115,João Costa,1,32,2,1,38000.0,20000.0,1,1,0
116,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
117,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
118,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
119,Luisa Santos,1,24,2,1,22000.0,10000.0,1,1,2
120,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
121,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
122,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
123,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
124,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
125,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
126,Andreia Ferreira,2,26,1,1,28000.0,20000.0,0,0,1
127,Rui Sousa,1,24,2,1,22000.0,10000.0,1,1,2
128,Ana Silva,2,25,2,1,18000.0,8000.0,0,0,2
129,Luís Rodrigues,1,34,1,1,40000.0,25000.0,1,1,1
130,Carla Martins,2,35,1,1,45000.0,40000.0,0,0,1
131,João Costa,1,32,2,1,38000.0,20000.0,1,1,0
132,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
133,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
134,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
135,Luisa Santos,1,24,2,1,22000.0,10000.0,1,1,2
136,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
137,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
138,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
139,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
140,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
141,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
142,Andreia Ferreira,2,26,1,1,28000.0,20000.0,0,0,1
143,Rui Sousa,1,24,2,1,22000.0,10000.0,1,1,2
144,Ana Silva,2,25,2,1,18000.0,8000.0,0,0,2
145,Luís Rodrigues,1,34,1,1,40000.0,25000.0,1,1,1
146,Carla Martins,2,35,1,1,45000.0,40000.0,0,0,1
147,João Costa,1,32,2,1,38000.0,20000.0,1,1,0
148,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
149,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
150,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
111,Luisa Santos,1,24,2,1,22000.0,10000.0,1,1,2
112,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
113,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
114,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
115,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
116,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
117,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
118,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
119,Luisa Santos,1,24,2,1,22000.0,10000.0,1,1,2
120,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
121,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
122,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
123,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
124,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
125,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
126,Andreia Ferreira,2,26,1,1,28000.0,20000.0,0,0,1
127,Rui Sousa,1,24,2,1,22000.0,10000.0,1,1,2
128,Ana Silva,2,25,2,1,18000.0,8000.0,0,0,2
129,Luís Rodrigues,1,34,1,1,40000.0,25000.0,1,1,1
130,Carla Martins,2,35,1,1,45000.0,40000.0,0,0,1
131,João Costa,1,32,2,1,38000.0,20000.0,1,1,0
132,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
133,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
134,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
135,Luisa Santos,1,24,2,1,22000.0,10000.0,1,1,2
136,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
137,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
138,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
139,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
140,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
141,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
142,Andreia Ferreira,2,26,1,1,28000.0,20000.0,0,0,1
143,Rui Sousa,1,24,2,1,22000.0,10000.0,1,1,2
144,Ana Silva,2,25,2,1,18000.0,8000.0,0,0,2
145,Luís Rodrigues,1,34,1,1,40000.0,25000.0,1,1,1
146,Carla Martins,2,35,1,1,45000.0,40000.0,0,0,1
147,João Costa,1,32,2,1,38000.0,20000.0,1,1,0
148,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
149,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
150,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
249,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
250,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
251,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
252,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
253,Andreia Ferreira,2,26,1,1,28000.0,20000.0,0,0,1
254,Rui Sousa,1,24,2,1,22000.0,10000.0,1,1,2
255,Ana Silva,2,25,2,1,18000.0,8000.0,0,0,2
256,Luís Rodrigues,1,34,1,1,40000.0,25000.0,1,1,1
257,Carla Martins,2,35,1,1,45000.0,40000.0,0,0,1
258,João Costa,1,32,2,1,38000.0,20000.0,1,1,0
259,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
260,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
261,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
262,Luisa Santos,1,24,2,1,22000.0,10000.0,1,1,2
263,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
264,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
265,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
266,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
267,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
268,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
269,Andreia Ferreira,2,26,1,1,28000.0,20000.0,0,0,1
270,Rui Sousa,1,24,2,1,22000.0,10000.0,1,1,2
271,Ana Silva,2,25,2,1,18000.0,8000.0,0,0,2
272,Luís Rodrigues,1,34,1,1,40000.0,25000.0,1,1,1
273,Carla Martins,2,35,1,1,45000.0,40000.0,0,0,1
274,João Costa,1,32,2,1,38000.0,20000.0,1,1,0
275,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
276,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
277,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
278,Luisa Santos,1,24,2,1,22000.0,10000.0,1,1,2
279,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
280,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
281,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
282,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
283,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
284,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
285,Andreia Ferreira,2,26,1,1,28000.0,20000.0,0,0,1
286,Rui Sousa,1,24,2,1,22000.0,10000.0,1,1,2
287,Ana Silva,2,25,2,1,18000.0,8000.0,0,0,2
288,Luís Rodrigues,1,34,1,1,40000.0,25000.0,1,1,1
289,Carla Martins,2,35,1,1,45000.0,40000.0,0,0,1
290,João Costa,1,32,2,1,38000.0,20000.0,1,1,0
291,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
292,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
293,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
294,Luisa Santos,1,24,2,1,22000.0,10000.0,1,1,2
295,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
296,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
297,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
298,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
299,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
300,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
